topic_id,title,url,difficulty,company_tags
1,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,"Apple, Bloomberg"
1,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,"Google, Microsoft"
1,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/,Easy,"Amazon, Microsoft"
1,Single Number,https://leetcode.com/problems/single-number/,Easy,"Amazon, Apple"
2,Subsets,https://leetcode.com/problems/subsets/,Medium,"Meta, Amazon"
2,Combinations,https://leetcode.com/problems/combinations/,Medium,"Google, Meta"
2,Permutations,https://leetcode.com/problems/permutations/,Medium,"LinkedIn, Microsoft"
2,Word Search,https://leetcode.com/problems/word-search/,Medium,"Amazon, Microsoft"
2,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,"Amazon, Meta"
3,Two Sum,https://leetcode.com/problems/two-sum/,Easy,"Amazon, Google, Meta"
3,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,"Amazon, Microsoft"
3,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,"Apple, Microsoft"
3,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,"Amazon, Apple"
3,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,"Microsoft, Google"
3,3Sum,https://leetcode.com/problems/3sum/,Medium,"Meta, Amazon"
3,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,"Google, Meta"
3,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,"Meta, Google, Amazon"
3,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,"Google, Amazon"
3,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,"Amazon, Microsoft"
4,Binary Search,https://leetcode.com/problems/binary-search/,Easy,"Microsoft, Apple"
4,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,"Meta, Amazon"
4,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,"Google, Microsoft"
4,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,"Amazon, Microsoft"
4,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,"Meta, Google"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,"Google, Amazon, Meta"
5,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,"Amazon, Microsoft"
5,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,"Amazon, Apple"
5,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,"Microsoft, Amazon"
5,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,"Meta, Amazon"
5,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,"Google, Meta"
5,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,"Amazon, Google"
5,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,"Amazon, Meta"
6,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,"Amazon, Meta"
6,Min Stack,https://leetcode.com/problems/min-stack/,Medium,"Amazon, Google"
6,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,"LinkedIn, Amazon"
6,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,"Meta, Amazon"
6,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,"Meta, Google"
6,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,"Google, Amazon"
6,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,"Microsoft, Amazon"
7,Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,"Amazon, Apple"
7,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,"Google, Amazon, Meta"
7,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,"Meta, Amazon"
8,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,"Apple, Amazon"
8,Same Tree,https://leetcode.com/problems/same-tree/,Easy,"Google, Amazon"
8,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,"Google, Meta"
8,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,"Meta, Google"
8,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,"Amazon, LinkedIn"
8,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,"Amazon, Meta, Google"
8,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy,"Amazon, Google"
8,Lowest Common Ancestor of a BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,"Amazon, Meta"
8,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,"Amazon, Microsoft"
8,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,"Amazon, Google"
8,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,"Amazon, Microsoft"
9,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,"Amazon, Google, Meta"
9,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,"Meta, Amazon"
9,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,"Google, Amazon"
9,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,"Amazon, Meta"
9,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,"Amazon, Meta"
9,Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,"Google, Amazon"
9,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,"Meta, Google, Amazon"
8,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,"Google, LinkedIn"
10,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,"Amazon, Apple"
10,Coin Change,https://leetcode.com/problems/coin-change/,Medium,"Amazon, Google"
10,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,"Google, Amazon"
10,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,"Amazon, Google"
10,Word Break,https://leetcode.com/problems/word-break/,Medium,"Amazon, Meta"
10,House Robber,https://leetcode.com/problems/house-robber/,Medium,"Google, Amazon"
10,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,"Microsoft, Google"
10,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,"Meta, Amazon"
10,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,"Amazon, Google"
10,Jump Game,https://leetcode.com/problems/jump-game/,Medium,"Amazon, Microsoft"
1,Romance to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,"Amazon, Apple, Google"
1,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,"Microsoft, Amazon"
2,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,"Amazon, Meta, Google"
2,N-Queens,https://leetcode.com/problems/n-queens/,Hard,"Amazon, Microsoft"
2,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,"Microsoft, Meta"
2,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,"Google, Amazon"
2,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,"Amazon, Meta"
3,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,"Amazon, Google, Meta"
3,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,"Meta, Amazon"
3,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,"Amazon, Apple"
3,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,"Amazon, Microsoft"
3,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,"Google, Meta"
3,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Meta, Amazon, LinkedIn"
3,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,"Amazon, Microsoft"
3,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium,"Meta, Google"
4,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,"Meta, Amazon"
4,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,"Amazon, Microsoft"
4,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,"Google, Amazon"
4,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,"Amazon, Meta"
5,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,"Amazon, Microsoft"
5,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,"Amazon, Google, Meta"
5,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,"Amazon, Google"
5,Sort List,https://leetcode.com/problems/sort-list/,Medium,"Meta, Microsoft"
5,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,"Amazon, Apple"
5,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,Easy,"Amazon, Microsoft"
10,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,"Amazon, Google"
